,Unnamed: 0.1,Unnamed: 0,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,Documentary,War,Musical,Western,Film-Noir,cluster
103995,103995,103996,215,25,41,261,113,89,204,349,167,236,69,45,145,4,0,41,23,10,11,1
68824,68824,68825,116,46,21,386,44,167,851,154,260,280,54,102,126,29,29,77,0,46,19,0
104963,104963,104964,35,13,13,28,9,19,40,24,19,27,0,0,9,9,5,3,8,3,0,1
110414,110414,110415,82,41,36,46,42,20,103,74,35,55,5,19,45,39,0,21,6,3,0,1
122579,122579,122580,140,16,29,241,51,108,330,202,115,165,26,78,106,5,0,86,11,23,8,1
37287,37287,37288,357,134,135,430,150,179,563,406,186,273,49,65,275,91,12,61,36,15,0,4
159634,159634,159635,98,20,35,284,30,180,384,191,157,256,40,85,74,8,2,36,20,21,4,3
112681,112681,112682,106,29,24,99,28,55,114,120,42,92,15,28,70,17,0,18,23,3,8,1
9566,9566,9567,569,102,128,626,284,209,753,814,414,552,111,183,318,120,25,154,56,40,8,2
85363,85363,85364,110,60,78,127,50,71,134,82,20,32,2,8,38,37,10,23,25,0,0,0
24764,24764,24765,79,23,36,129,40,60,99,72,39,55,12,9,65,14,25,4,13,2,0,4
71435,71435,71436,35,7,10,24,14,12,8,35,9,33,0,3,12,0,0,0,6,0,0,0
26723,26723,26724,56,7,10,20,16,5,68,53,29,45,3,12,32,6,0,7,0,0,0,4
30835,30835,30836,49,4,4,26,9,18,37,58,22,38,4,0,24,9,0,4,4,3,0,4
132160,132160,132161,48,0,0,25,0,10,57,41,9,34,16,10,35,0,2,21,0,0,9,1
31963,31963,31964,34,8,4,72,37,5,49,72,24,57,95,8,57,0,0,0,4,11,0,4
62411,62411,62412,200,182,154,293,129,132,309,147,98,179,53,74,161,12,4,13,97,5,10,4
55665,55665,55666,41,3,3,47,11,29,123,79,4,25,8,4,25,0,0,107,5,13,0,4
107718,107718,107719,116,7,6,62,10,21,121,192,73,117,12,24,64,39,1,33,9,10,3,1
33752,33752,33753,38,5,9,22,9,6,16,40,10,47,0,7,19,0,0,0,4,0,0,4
65437,65437,65438,6,0,2,27,4,5,23,20,0,28,22,14,7,0,0,2,0,0,0,0
57722,57722,57723,160,3,20,235,38,152,712,248,270,340,81,114,126,4,4,90,18,51,30,4
139722,139722,139723,284,50,43,115,64,32,192,397,126,258,22,62,250,114,0,33,3,1,0,3
154190,154190,154191,121,10,15,57,50,45,243,128,91,95,9,30,119,42,14,39,1,8,0,3
65878,65878,65879,127,36,50,253,48,75,236,183,98,126,51,43,135,23,7,48,27,16,2,0
81667,81667,81668,168,70,112,181,78,129,181,122,53,74,7,44,92,10,2,33,64,10,10,0
145356,145356,145357,106,26,29,185,47,121,208,149,82,170,21,74,69,9,3,18,13,17,11,3
28292,28292,28293,1,1,4,8,1,3,43,6,12,6,0,4,4,0,0,1,1,0,0,4
36658,36658,36659,90,25,25,142,58,64,130,47,64,70,5,34,54,22,0,9,0,4,4,4
98963,98963,98964,78,0,0,201,35,139,380,71,133,155,91,87,79,0,31,19,30,7,45,0
144755,144755,144756,201,47,89,415,116,245,607,227,208,274,39,109,147,21,19,57,45,16,8,3
22929,22929,22930,19,4,7,50,12,24,67,12,5,20,0,11,15,0,3,4,3,0,0,2
31539,31539,31540,57,15,28,75,24,40,56,58,24,67,8,11,23,0,4,2,16,0,0,4
92392,92392,92393,54,4,15,72,35,36,156,72,92,87,17,35,36,13,0,19,0,0,0,0
60249,60249,60250,67,4,4,44,23,43,378,105,136,118,10,51,32,8,10,58,3,4,7,4
73566,73566,73567,39,16,16,78,36,56,55,44,37,25,1,18,11,2,0,9,8,4,0,0
65833,65833,65834,446,152,227,630,242,322,656,567,219,439,131,85,425,17,3,61,89,36,7,0
136097,136097,136098,50,8,30,157,27,110,228,116,81,164,21,46,49,3,10,15,12,17,5,3
121788,121788,121789,103,9,22,77,19,33,96,144,40,77,35,22,141,4,0,5,8,5,0,1
23493,23493,23494,358,121,106,463,190,131,346,475,169,328,188,75,389,10,10,37,65,27,4,2
118873,118873,118874,35,24,27,51,19,30,65,28,26,47,3,14,20,8,0,10,23,6,0,1
13456,13456,13457,8,0,4,21,8,25,55,25,20,16,0,0,8,0,0,11,8,0,0,2
20370,20370,20371,297,60,33,526,150,330,1160,506,406,523,89,207,301,86,81,128,39,33,68,2
52124,52124,52125,31,3,11,29,7,18,29,33,13,38,5,8,23,4,0,10,3,5,0,4
2184,2184,2185,175,52,48,75,77,22,88,148,48,56,0,22,97,88,0,12,0,4,0,2
35827,35827,35828,56,12,27,59,17,33,106,67,61,80,17,15,28,8,0,15,8,14,0,4
24374,24374,24375,53,8,8,49,25,15,81,82,80,88,21,24,60,9,19,8,4,2,4,4
158708,158708,158709,49,31,31,52,30,11,9,28,12,11,4,8,4,0,0,0,8,0,0,3
20524,20524,20525,125,34,29,39,46,12,41,124,22,47,13,6,80,46,0,16,7,0,0,2
160076,160076,160077,350,45,38,492,156,192,635,537,293,446,107,131,313,96,13,51,33,16,7,3
110628,110628,110629,187,29,55,531,97,574,1746,268,409,448,24,182,92,7,83,375,71,37,44,1
29901,29901,29902,42,10,10,51,7,46,86,77,43,101,9,14,8,3,0,22,10,12,0,4
120441,120441,120442,162,44,69,586,136,538,541,200,137,177,38,82,144,48,0,28,8,9,0,1
11954,11954,11955,48,9,26,71,32,49,99,54,45,56,12,29,33,0,0,22,4,9,8,2
73712,73712,73713,44,29,51,86,45,25,58,71,20,61,27,13,72,0,0,2,7,0,0,0
54370,54370,54371,22,4,5,35,7,22,36,26,12,38,0,10,13,0,0,0,1,4,0,4
145495,145495,145496,48,4,16,102,29,105,170,72,43,74,27,13,37,4,0,15,0,28,0,3
139581,139581,139582,49,10,10,86,10,90,158,76,51,71,6,25,30,0,0,7,7,3,0,3
96880,96880,96881,50,19,31,82,15,39,96,49,16,61,4,6,30,3,4,9,23,0,0,0
126243,126243,126244,93,58,60,185,52,98,163,103,85,83,8,28,51,28,0,9,16,0,0,1
30130,30130,30131,4,0,0,32,4,13,40,18,14,20,3,3,0,0,0,9,4,0,0,4
16591,16591,16592,68,15,32,109,31,46,88,72,33,66,10,11,42,15,0,23,15,18,0,2
30918,30918,30919,44,5,5,0,8,5,18,54,10,8,0,3,37,10,0,3,0,0,0,4
18670,18670,18671,35,7,7,43,25,25,45,43,17,18,0,8,19,4,0,0,4,4,0,2
128937,128937,128938,63,3,14,154,29,72,172,77,68,67,26,24,72,0,51,30,11,6,0,1
76486,76486,76487,109,43,52,196,70,71,156,94,80,70,13,20,66,13,4,0,16,4,7,0
131659,131659,131660,30,1,7,35,12,12,37,10,0,20,2,15,40,0,0,4,2,0,4,1
48223,48223,48224,82,16,27,37,51,44,54,49,9,34,3,4,14,10,0,14,8,0,0,4
119856,119856,119857,34,8,5,97,20,22,112,60,70,76,43,23,29,7,4,5,5,0,0,1
156428,156428,156429,68,9,13,96,14,52,123,108,58,129,21,18,43,10,0,23,9,13,0,3
119969,119969,119970,88,40,40,40,19,29,110,71,19,49,17,12,41,28,0,20,13,5,0,1
72956,72956,72957,16,7,7,66,3,43,72,42,22,31,6,4,21,0,3,10,6,4,0,0
54699,54699,54700,228,19,34,191,89,112,273,370,139,326,88,96,175,21,3,52,3,18,3,4
113468,113468,113469,51,5,10,48,11,10,71,55,30,42,13,17,22,5,0,16,5,17,0,1
73573,73573,73574,15,0,4,83,14,57,116,38,43,54,23,16,24,3,5,13,5,0,4,0
23286,23286,23287,295,82,138,451,156,183,384,344,188,244,22,64,148,60,3,53,44,22,5,2
8917,8917,8918,70,3,1,11,28,11,67,111,58,107,14,43,53,37,0,10,0,0,5,2
128752,128752,128753,12,3,7,42,14,32,70,13,18,30,0,3,3,5,5,4,3,4,0,1
63951,63951,63952,362,29,37,221,142,105,175,471,81,279,91,48,350,135,5,39,13,0,4,0
38285,38285,38286,229,126,162,569,145,257,789,220,210,278,121,105,194,4,15,82,84,15,26,4
68849,68849,68850,44,10,10,70,5,50,50,84,12,71,13,25,49,0,0,0,0,13,0,0
123169,123169,123170,76,28,35,99,35,67,142,83,45,95,3,23,42,13,0,20,27,18,0,1
116452,116452,116453,126,5,5,209,28,26,169,288,145,221,27,67,159,46,0,27,4,5,3,1
145438,145438,145439,282,78,101,294,108,153,658,386,207,281,29,92,135,64,7,240,34,17,8,3
93355,93355,93356,12,3,11,105,26,109,184,18,56,44,7,19,15,0,14,21,4,1,10,0
34767,34767,34768,595,295,286,539,313,253,614,644,250,358,28,79,317,206,7,85,88,17,3,4
26267,26267,26268,15,14,16,68,10,37,139,36,76,61,10,19,13,4,5,22,11,11,7,4
41861,41861,41862,117,43,50,184,63,105,237,147,112,126,17,46,93,4,0,35,33,6,5,4
93956,93956,93957,223,33,30,522,85,241,998,376,552,524,49,222,138,20,89,115,21,54,78,0
9410,9410,9411,295,36,85,838,134,366,787,452,298,409,70,152,154,0,10,98,65,32,46,2
1943,1943,1944,155,46,57,96,86,101,137,143,53,90,7,23,46,47,0,29,22,0,0,2
56750,56750,56751,507,188,249,1091,248,518,1143,755,460,823,267,223,290,31,7,162,121,43,11,4
150088,150088,150089,24,5,13,36,13,24,51,27,40,33,8,20,22,8,0,9,3,0,0,3
159826,159826,159827,535,201,349,1094,334,560,1230,596,347,585,376,227,420,5,21,120,185,83,63,3
158989,158989,158990,27,9,18,19,14,17,31,66,29,53,4,11,16,17,0,12,3,0,0,3
38772,38772,38773,22,3,5,33,0,26,56,27,8,26,5,9,25,0,5,12,0,0,4,4
30712,30712,30713,95,25,44,138,39,92,137,128,54,117,20,22,41,12,5,27,24,18,0,4
119154,119154,119155,185,70,46,192,106,85,386,182,191,224,76,93,153,24,34,21,24,15,18,1
7524,7524,7525,164,58,61,136,63,56,145,160,47,123,34,39,100,15,0,15,21,10,0,2
68576,68576,68577,52,0,9,10,10,9,30,76,15,81,12,10,37,0,0,3,5,0,0,0
88579,88579,88580,34,5,10,28,15,20,21,38,4,45,0,9,13,0,0,0,5,0,0,0
149792,149792,149793,560,188,363,1538,323,642,1428,666,502,640,163,180,353,41,32,125,174,43,21,3
76434,76434,76435,18,4,7,47,6,33,106,33,28,63,10,14,17,0,3,16,7,16,0,0
131658,131658,131659,61,7,20,352,61,172,301,72,115,128,76,54,40,3,16,12,24,12,4,1
32909,32909,32910,40,0,19,24,13,10,84,24,22,9,0,5,12,0,0,7,5,0,5,4
159077,159077,159078,58,3,10,61,9,34,34,79,28,56,1,5,17,0,0,4,0,0,0,3
111467,111467,111468,307,37,80,278,124,74,259,352,101,246,94,65,337,8,12,24,21,37,4,1
53178,53178,53179,167,0,10,77,32,30,92,335,109,222,15,23,109,0,0,12,0,19,0,4
146572,146572,146573,150,30,30,188,126,83,248,179,90,157,82,77,110,0,10,21,21,0,0,3
111639,111639,111640,6,0,0,104,16,74,194,14,78,53,4,25,0,0,70,21,0,0,30,1
144053,144053,144054,26,4,0,77,10,49,133,12,51,41,11,34,7,0,8,5,4,0,23,3
134336,134336,134337,96,38,58,84,64,41,151,68,20,36,4,14,49,52,0,8,14,0,0,3
147395,147395,147396,44,8,13,64,13,20,73,73,55,87,9,18,17,3,0,15,8,11,0,3
77165,77165,77166,38,0,0,45,5,29,58,56,31,63,3,11,34,5,0,11,0,4,0,0
79692,79692,79693,49,15,8,125,48,88,215,84,81,89,34,21,45,5,8,0,9,11,5,0
78321,78321,78322,149,30,93,548,74,245,781,203,164,274,55,61,73,0,79,27,36,7,4,0
44652,44652,44653,73,13,25,177,32,118,215,137,94,176,17,33,40,9,5,27,17,26,3,4
77522,77522,77523,127,11,15,238,32,92,398,272,293,314,12,116,65,44,27,59,11,16,14,0
41358,41358,41359,17,4,4,70,43,16,98,63,56,120,150,27,36,4,22,0,14,0,3,4
130149,130149,130150,44,7,18,68,18,61,164,63,53,60,8,11,20,3,5,6,15,18,0,1
116842,116842,116843,758,269,228,658,288,200,815,1235,593,870,153,156,669,225,4,75,41,21,12,1
32169,32169,32170,96,14,27,118,22,86,134,132,60,148,14,20,50,12,0,20,11,20,0,4
80769,80769,80770,20,4,4,91,3,38,29,18,16,0,0,0,14,0,0,0,8,0,0,0
5874,5874,5875,30,3,6,40,10,40,76,30,15,40,0,11,15,0,0,9,8,0,0,2
149169,149169,149170,16,0,5,133,20,108,202,31,51,54,7,23,7,0,0,22,7,9,0,3
73262,73262,73263,24,0,8,20,9,50,114,25,18,42,8,15,28,5,0,10,0,0,0,0
11062,11062,11063,25,6,3,42,42,17,84,31,18,31,15,8,20,0,3,11,5,0,4,2
124179,124179,124180,40,4,8,116,20,46,73,59,62,69,19,15,41,9,0,7,0,0,0,1
81608,81608,81609,25,14,18,50,9,38,63,21,19,28,3,0,7,9,0,6,10,6,0,0
111542,111542,111543,51,7,15,131,17,48,101,84,33,37,20,8,39,0,0,56,8,9,0,1
122227,122227,122228,12,7,0,34,2,15,25,21,3,12,5,5,18,0,0,3,12,0,5,1
89,89,90,37,9,13,43,9,54,62,32,15,25,0,6,16,0,0,9,4,0,0,2
113006,113006,113007,57,0,28,102,22,112,519,74,104,75,11,13,31,0,22,66,8,11,12,1
94647,94647,94648,76,30,49,347,63,197,686,62,78,145,93,60,60,4,22,60,58,35,9,0
84177,84177,84178,37,0,0,13,0,17,140,54,44,40,8,4,13,12,0,44,0,0,0,0
157741,157741,157742,41,12,20,54,14,24,61,56,37,58,7,3,23,12,0,10,12,8,0,3
69433,69433,69434,134,21,26,308,98,154,495,143,103,196,76,107,178,0,12,46,22,8,31,0
85255,85255,85256,199,82,186,330,118,111,86,146,39,42,4,4,25,26,0,30,73,0,0,0
39878,39878,39879,67,14,15,77,26,33,99,99,48,79,7,27,35,27,5,1,5,5,2,4
73724,73724,73725,131,34,30,125,85,19,168,184,87,313,314,89,184,16,0,9,7,28,8,0
15610,15610,15611,52,23,40,72,23,23,43,46,11,21,6,4,24,4,0,13,15,0,0,2
52875,52875,52876,418,34,35,221,97,74,306,677,122,407,79,74,522,43,0,56,15,16,5,4
52065,52065,52066,16,0,8,23,3,0,51,34,38,29,10,26,19,10,0,4,0,4,0,4
121669,121669,121670,73,47,67,623,77,233,290,27,59,38,12,25,11,0,5,20,40,4,0,1
24393,24393,24394,273,153,209,391,141,431,550,296,168,393,91,115,83,11,0,51,158,8,2,4
144584,144584,144585,91,10,7,62,36,13,81,160,37,90,39,18,94,74,4,15,0,2,0,3
33553,33553,33554,140,35,56,175,41,49,105,175,62,79,2,10,137,4,0,11,63,13,0,4
66438,66438,66439,21,0,0,25,6,26,96,8,16,37,22,21,19,0,0,12,4,0,11,0
24114,24114,24115,35,26,13,109,25,47,110,14,39,38,4,24,41,3,5,4,9,0,0,2
105519,105519,105520,511,117,224,999,269,462,1009,604,425,654,201,261,348,20,32,135,149,62,28,1
16421,16421,16422,255,34,84,266,166,304,455,290,138,244,26,62,160,9,0,63,29,28,12,2
59756,59756,59757,11,13,34,66,13,29,28,8,14,4,3,1,1,0,0,0,15,0,0,4
33194,33194,33195,115,20,59,508,65,265,815,90,228,194,17,88,47,11,122,65,31,18,23,4
43806,43806,43807,23,2,3,38,6,30,68,35,19,47,17,30,34,4,0,5,7,3,7,4
61003,61003,61004,179,35,23,123,63,45,243,352,140,219,14,50,213,135,0,39,3,5,4,4
59456,59456,59457,58,56,50,26,44,16,50,35,17,27,18,12,29,9,0,4,0,0,0,4
29128,29128,29129,295,69,95,431,99,197,718,433,350,446,37,101,172,39,16,94,24,30,4,4
114799,114799,114800,34,18,29,137,27,158,418,29,98,93,3,55,21,4,3,40,22,0,12,1
86292,86292,86293,119,178,139,144,81,37,41,55,15,4,3,4,15,57,3,2,40,0,0,0
20765,20765,20766,150,29,42,241,67,132,216,232,131,213,10,34,80,0,12,42,2,14,5,2
14107,14107,14108,349,36,52,311,135,166,456,455,212,329,57,119,277,135,0,75,19,13,10,2
94785,94785,94786,251,41,64,125,111,86,314,303,129,247,43,67,209,51,0,44,18,0,0,0
112083,112083,112084,142,39,179,828,124,351,271,123,68,55,18,7,70,0,2,47,88,37,0,1
49520,49520,49521,61,8,8,113,33,99,295,77,116,138,30,83,41,15,0,50,13,0,22,4
44691,44691,44692,134,205,188,199,112,123,175,62,30,20,0,10,29,31,18,26,111,0,0,4
76560,76560,76561,411,125,127,340,200,183,622,573,249,435,55,133,371,172,9,48,25,21,4,0
115656,115656,115657,97,28,61,123,44,82,172,129,64,115,17,20,55,15,0,28,31,12,0,1
96179,96179,96180,204,36,39,269,71,196,1021,349,456,482,48,166,187,55,104,105,14,48,33,0
93973,93973,93974,74,9,23,113,27,57,107,108,47,123,15,28,37,0,0,2,11,3,0,0
114745,114745,114746,212,35,62,294,93,101,383,333,194,270,50,68,136,12,3,54,21,12,7,1
42633,42633,42634,371,114,58,248,168,92,478,538,170,476,294,128,436,28,4,116,18,15,5,4
30277,30277,30278,48,21,7,66,28,26,38,57,19,42,11,4,36,10,0,0,3,4,4,4
117543,117543,117544,263,75,80,518,175,478,650,293,198,294,53,123,159,118,6,49,60,7,4,1
58815,58815,58816,39,16,20,79,15,67,112,40,33,53,4,7,20,13,0,22,16,7,0,4
113522,113522,113523,82,21,46,88,41,29,115,49,32,37,34,25,15,1,0,17,19,3,0,1
44540,44540,44541,42,15,29,94,21,62,160,59,65,138,17,18,25,0,3,9,17,3,0,4
149560,149560,149561,18,7,10,52,13,47,71,27,23,37,1,12,15,0,0,9,3,0,0,3
92136,92136,92137,80,41,33,144,38,92,275,105,92,126,7,45,66,28,0,20,3,3,0,0
160251,160251,160252,100,61,112,154,75,113,85,52,10,19,1,10,16,7,0,5,37,0,0,3
144250,144250,144251,86,24,45,120,52,60,134,125,46,110,21,19,38,10,0,22,17,20,0,3
62728,62728,62729,301,249,181,452,206,249,684,278,230,270,44,121,172,83,7,74,65,27,13,4
158281,158281,158282,52,12,27,43,25,20,46,45,16,63,9,8,11,0,0,0,14,0,0,3
140625,140625,140626,56,11,12,117,20,40,78,103,54,86,35,3,54,0,0,5,11,7,0,3
32321,32321,32322,16,13,17,39,10,12,26,11,18,19,0,0,4,3,0,0,5,3,0,4
47724,47724,47725,46,4,4,18,30,8,64,50,56,38,4,16,20,25,0,8,0,0,0,4
21278,21278,21279,49,10,21,53,31,23,61,32,17,18,14,10,24,3,0,5,9,0,5,2
158740,158740,158741,41,4,4,70,24,33,177,86,108,98,0,42,27,14,0,11,9,0,4,3
11035,11035,11036,370,183,230,388,243,186,448,493,164,400,181,139,175,111,0,54,33,12,0,2
23319,23319,23320,399,32,47,670,147,378,854,553,310,674,202,185,357,13,4,103,37,20,7,2
79819,79819,79820,163,98,62,183,54,60,264,299,215,254,32,53,125,29,7,45,28,11,12,0
13879,13879,13880,31,8,13,50,19,30,51,29,18,43,0,6,16,0,0,4,9,0,0,2
151912,151912,151913,455,81,129,679,184,281,892,666,433,699,208,210,342,19,29,116,70,33,23,3
125135,125135,125136,8,0,0,13,3,18,58,9,15,15,1,5,3,4,0,3,0,0,0,1
75273,75273,75274,56,15,13,125,25,70,197,43,60,78,20,21,32,7,18,3,6,0,0,0
123843,123843,123844,16,5,11,89,10,45,109,11,34,17,7,15,11,0,6,11,25,0,0,1
30005,30005,30006,51,10,16,55,13,47,103,69,42,77,4,12,20,12,0,20,10,4,0,4
104822,104822,104823,4,0,4,50,7,51,109,2,9,8,4,4,2,0,4,3,0,2,0,1
68398,68398,68399,237,28,59,576,83,160,365,301,129,214,153,71,413,0,0,133,25,54,46,0
87861,87861,87862,122,15,4,124,65,38,282,218,130,221,106,95,165,17,7,24,7,42,4,0
139532,139532,139533,60,0,14,166,14,264,980,59,96,78,0,48,20,5,0,74,20,8,7,3
148370,148370,148371,19,13,8,56,4,9,23,22,15,12,4,0,15,0,0,1,5,0,0,3
1009,1009,1010,186,62,54,111,84,65,171,179,69,95,0,41,126,81,0,9,3,4,0,2
34257,34257,34258,218,61,59,367,84,66,561,341,280,299,15,91,126,64,65,149,8,18,7,4
51748,51748,51749,31,8,12,24,8,12,41,33,32,46,8,0,6,9,0,7,8,5,0,4
113244,113244,113245,947,385,424,2603,649,1467,4275,1053,855,1281,304,494,894,160,281,243,227,76,52,1
129320,129320,129321,156,42,43,272,45,134,444,261,255,292,45,81,102,14,4,42,24,11,5,1
146210,146210,146211,43,9,44,119,15,75,137,23,36,40,9,5,11,9,3,14,8,5,0,3
86458,86458,86459,25,9,5,18,19,12,123,21,52,37,18,19,21,3,0,21,0,5,4,0
70330,70330,70331,99,8,8,77,35,43,124,145,79,121,23,51,95,25,0,12,4,0,7,0
105819,105819,105820,50,10,13,88,14,73,82,35,16,40,0,5,13,9,0,17,9,10,0,1
95818,95818,95819,45,8,15,50,19,31,35,35,8,35,3,10,27,0,0,0,9,0,0,0
102490,102490,102491,252,30,77,415,128,279,663,251,181,277,61,111,143,4,2,115,42,30,19,1
24470,24470,24471,151,55,91,385,87,298,666,116,173,211,30,94,58,8,3,90,70,32,50,4
28274,28274,28275,21,4,7,35,11,18,64,31,32,43,5,0,8,8,0,17,4,5,0,4
102531,102531,102532,97,7,15,182,50,186,430,160,132,205,73,61,87,0,17,67,21,25,26,1
138334,138334,138335,70,23,70,93,35,62,107,41,15,44,11,8,20,15,0,24,23,13,0,3
81902,81902,81903,170,6,10,430,53,144,558,487,376,463,41,117,89,12,10,71,6,23,7,0
46985,46985,46986,106,12,12,166,31,64,154,180,88,160,25,39,56,0,0,44,4,12,0,4
88364,88364,88365,26,12,4,56,13,37,203,52,94,90,11,32,19,5,0,16,0,6,0,0
140792,140792,140793,92,11,11,33,23,0,56,110,46,68,3,14,64,33,0,12,0,0,0,3
25084,25084,25085,184,12,20,417,59,168,316,276,213,213,16,57,46,0,0,42,10,17,4,4
128048,128048,128049,126,3,12,163,49,253,296,191,76,102,16,25,68,17,0,74,1,15,0,1
30787,30787,30788,23,9,12,27,6,21,29,17,23,41,4,5,3,6,0,0,9,3,0,4
45907,45907,45908,73,47,40,129,67,41,58,42,18,26,9,7,44,11,0,4,12,0,0,4
117393,117393,117394,58,8,14,78,27,32,90,64,34,78,21,22,42,0,5,9,14,5,0,1
24040,24040,24041,176,11,46,231,53,135,296,200,124,200,23,100,86,3,0,52,17,12,31,2
76466,76466,76467,202,30,91,243,150,80,333,307,227,324,263,82,199,3,0,73,45,21,6,0
59579,59579,59580,26,0,0,13,0,12,68,59,46,61,7,25,34,0,0,21,0,0,4,4
38246,38246,38247,57,0,0,5,16,10,47,94,31,31,8,5,60,19,0,23,0,0,0,4
78992,78992,78993,21,7,13,40,12,27,41,23,17,38,3,12,9,10,0,9,7,3,0,0
102212,102212,102213,16,0,0,46,6,15,43,23,41,36,5,5,11,3,0,4,0,4,0,1
75560,75560,75561,77,14,33,116,54,93,78,42,18,25,12,7,35,16,0,6,10,4,0,0
59689,59689,59690,153,47,64,185,120,82,224,187,89,301,333,91,147,29,4,4,79,7,8,4
51300,51300,51301,771,139,310,1264,612,301,509,915,226,573,453,215,437,122,9,71,84,31,4,4
18054,18054,18055,303,30,29,102,115,91,228,449,101,263,57,34,207,108,4,58,5,9,0,2
56778,56778,56779,74,8,18,65,23,44,198,102,94,89,27,33,58,0,0,37,8,5,16,4
60321,60321,60322,423,80,75,284,172,201,639,541,193,460,156,146,363,87,32,165,59,17,4,4
50757,50757,50758,87,22,13,63,43,45,244,107,112,123,28,40,33,11,5,32,0,6,3,4
99568,99568,99569,87,23,39,183,56,136,190,83,64,29,2,6,48,9,4,22,17,0,0,0
82818,82818,82819,12,0,1,50,22,35,83,17,9,16,0,3,3,4,0,0,5,4,0,0
10890,10890,10891,381,14,27,325,100,145,393,711,299,626,107,118,422,0,0,76,20,30,10,2
50395,50395,50396,19,4,11,29,6,8,46,26,31,50,5,4,3,8,0,7,4,3,0,4
33943,33943,33944,12,0,0,3,3,3,39,27,28,64,16,25,10,0,0,0,0,0,0,4
103203,103203,103204,1,0,1,12,0,7,46,11,11,11,1,12,1,0,2,7,1,0,1,1
57820,57820,57821,38,7,7,36,10,21,30,44,19,41,7,3,25,2,0,6,4,7,3,4
28308,28308,28309,166,34,31,130,54,98,253,212,122,211,41,59,102,34,1,11,13,4,4,4
16899,16899,16900,94,54,39,81,64,51,111,54,49,36,17,12,33,23,0,4,14,0,0,2
143656,143656,143657,11,1,1,19,0,17,59,22,43,33,6,3,20,2,0,12,0,0,0,3
149016,149016,149017,162,6,15,232,43,89,457,272,174,208,40,49,127,4,3,109,27,44,4,3
71598,71598,71599,27,13,13,73,19,24,37,30,12,12,4,4,9,0,0,9,0,0,0,0
